Section,Category,Example
Technology,Medical software,Epic Systems
Technology,Medical software,Healthcare common procedure coding system HCPCS
Technology,Metadata management software,Quest Erwin Data Modeler
Technology,Mobile location based services software,Resource management software
Technology,Network monitoring software,Nagios
Technology,Network monitoring software,Wireshark
Technology,Network security or virtual private network VPN management software,Virtual private networking VPN software
Technology,Object or component oriented development software,C#
Technology,Object or component oriented development software,jQuery
Technology,Object or component oriented development software,Scala
Technology,Object or component oriented development software,Swift
Technology,Object oriented data base management software,Hibernate ORM
Technology,Object oriented data base management software,PostgreSQL
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Bash
Technology,Operating system software,Microsoft Windows Server
Technology,Operating system software,Red Hat Enterprise Linux
Technology,Operating system software,UNIX Shell
Technology,Pattern design software,MatchWare MindView
Technology,Pattern design software,MindGenius
Technology,Pattern design software,MPI Micro Planner X-Pert
Technology,Pattern design software,NovaMind Merlin Project Manager
Technology,Portal server software,Apache HTTP Server
Technology,Presentation software,Microsoft PowerPoint
Technology,Process mapping and design software,Microsoft Visio
Technology,Program testing software,Hewlett Packard LoadRunner
Technology,Program testing software,JUnit
Technology,Program testing software,Selenium
Technology,Project management software,Atlassian Confluence
Technology,Project management software,Atlassian JIRA
Technology,Project management software,Microsoft Teams
Technology,Project management software,Oracle Primavera Enterprise Project Portfolio Management
Technology,Requirements analysis and system architecture software,Unified modeling language UML
Technology,Sales and marketing software,Google Ads
Technology,Sales and marketing software,Marketo Marketing Automation
Technology,Spreadsheet software,Microsoft Excel
Technology,Transaction security and virus protection software,McAfee
Technology,Transaction security and virus protection software,NortonLifeLock cybersecurity software
Technology,Transaction server software,Customer information control system CICS
Technology,Video conferencing software,Cisco Webex
Technology,Video conferencing software,Google Meet
Technology,Video conferencing software,LogMeIn GoToMeeting
Technology,Video creation and editing software,Apple Final Cut Pro
Technology,Video creation and editing software,Screencast-O-Matic
Technology,Web page creation and editing software,Adobe Dreamweaver
Technology,Web page creation and editing software,Facebook
Technology,Web platform development software,Django
Technology,Web platform development software,Google Angular
Technology,Web platform development software,React
Technology,Web platform development software,Spring Framework
Technology,Word processing software,3M Post-it App
Technology,Word processing software,Google Docs
Technology,Word processing software,Microsoft OneNote
Technology,Word processing software,Microsoft Word
