Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
"Exposed to Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,19,Once a month or more but not every week,29,Once a year or more but not every month,52,Never,,,,
"Indoors, Not Environmentally Controlled",How often does this job require working in an environment that is not environmentally controlled (like a warehouse without air conditioning)?,19,Once a month or more but not every week,29,Once a year or more but not every month,52,Never,,,,
Exposed to Extremely Bright or Inadequate Lighting Conditions,How often does this job require working in extremely bright or inadequate lighting conditions?,14,Once a month or more but not every week,29,Once a year or more but not every month,57,Never,,,,
In an Enclosed Vehicle or Operate Enclosed Equipment,How often does this job require working in a closed vehicle or operate enclosed equipment (like a car)?,24,Once a month or more but not every week,67,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, poles, etc.?",20,Less than half the time,70,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",11,Once a month or more but not every week,26,Once a year or more but not every month,63,Never,,,,
"Outdoors, Exposed to All Weather Conditions","How often does this job require working outdoors, exposed to all weather conditions?",30,Once a year or more but not every month,65,Never,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How often does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hearing protection, hard hats or life-jackets?",30,Once a year or more but not every month,65,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,14,Once a year or more but not every month,76,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,19,"Irregular (changes with weather conditions, production demands, or contract duration)",81,"Regular (established routine, set schedule)",,,,,,
Spend Time Bending or Twisting Your Body,How much does this job require bending or twisting your body?,25,Less than half the time,70,Never,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",35,Less than half the time,65,Never,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (like in an open shed)?",30,Once a year or more but not every month,70,Never,,,,,,
Dealing with Violent or Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,29,Once a year or more but not every month,71,Never,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",85,Never,,,,,,,,
Exposed to Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,15,Once a year or more but not every month,80,Never,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,25,Less than half the time,75,Never,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,85,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How often does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",20,Once a year or more but not every month,80,Never,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,15,Once a year or more but not every month,85,Never,,,,,,
In an Open Vehicle or Operating Equipment,How often does this job require working in an open vehicle or operating equipment (like a tractor)?,15,Once a year or more but not every month,85,Never,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,90,Never,,,,,,,,
Exposed to Whole Body Vibration,How often does this job require exposure to whole body vibration (like operating a jackhammer or earth moving equipment)?,95,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
