snapshot_month,model_id,task_id,onet_task_text,benchmark_observability,structural_exposure_100,capability_fit_100,realized_exposure_100,oc_100,benchmark_coverage_ratio
2026-04,adk_gaia,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,43.2735,27.8552,81.2500,0.1814
2026-04,adk_gaia,T12,Perform risk assessments to develop response strategies.,high,47.7700,50.9100,24.3197,68.7500,0.2222
2026-04,adk_gaia,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,50.9100,31.4649,43.7500,0.2630
2026-04,adk_gaia,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,43.2735,15.8965,81.2500,0.1868
2026-04,adk_gaia,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,45.8190,22.1443,81.2500,0.2008
2026-04,adk_gaia,T16,Establish and execute a project communication plan.,medium,51.9700,48.3645,25.1350,62.5000,0.2040
2026-04,adk_gaia,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,40.7280,18.7838,56.2500,0.1686
2026-04,adk_gaia,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,45.8190,16.6186,87.5000,0.1794
2026-04,adk_gaia,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,43.2735,16.1064,75.0000,0.1632
2026-04,adk_gaia,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,45.8190,16.9072,93.7500,0.1580
2026-04,adk_gaia,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,40.7280,11.5973,93.7500,0.1440
2026-04,agent2030,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,70.2430,40.4319,81.2500,0.1644
2026-04,agent2030,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,70.2430,23.0257,75.0000,0.1901
2026-04,agent2030,T03,Monitor or track project milestones and deliverables.,high,50.6550,70.2430,35.5816,43.7500,0.1955
2026-04,agent2030,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,66.5460,22.8153,62.5000,0.1377
2026-04,agent2030,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,73.9400,26.7626,75.0000,0.2372
2026-04,agent2030,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,70.2430,38.0541,93.7500,0.1826
2026-04,agent2030,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,66.5460,22.5990,43.7500,0.1719
2026-04,agent2030,T08,Direct or coordinate activities of project personnel.,medium,36.6950,73.9400,27.1323,87.5000,0.1708
2026-04,agent2030,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,70.2430,33.5305,75.0000,0.2254
2026-04,agent2030,T10,Identify need for initial or supplemental project resources.,medium,42.6150,62.8490,26.7831,62.5000,0.1782
2026-04,agent2030,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,62.8490,40.4559,81.2500,0.1814
2026-04,agent2030,T12,Perform risk assessments to develop response strategies.,high,47.7700,73.9400,35.3211,68.7500,0.2222
2026-04,agent2030,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,73.9400,45.6986,43.7500,0.2630
2026-04,agent2030,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,62.8490,23.0876,81.2500,0.1868
2026-04,agent2030,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,66.5460,32.1617,81.2500,0.2008
2026-04,agent2030,T16,Establish and execute a project communication plan.,medium,51.9700,70.2430,36.5053,62.5000,0.2040
2026-04,agent2030,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,59.1520,27.2809,56.2500,0.1686
2026-04,agent2030,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,66.5460,24.1362,87.5000,0.1794
2026-04,agent2030,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,62.8490,23.3924,75.0000,0.1632
2026-04,agent2030,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,66.5460,24.5555,93.7500,0.1580
2026-04,agent2030,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,59.1520,16.8435,93.7500,0.1440
2026-04,agent_2030,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,78.8785,45.4025,81.2500,0.1644
2026-04,agent_2030,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,78.8785,25.8564,75.0000,0.1901
2026-04,agent_2030,T03,Monitor or track project milestones and deliverables.,high,50.6550,78.8785,39.9559,43.7500,0.1955
2026-04,agent_2030,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,74.7270,25.6202,62.5000,0.1377
2026-04,agent_2030,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,83.0300,30.0527,75.0000,0.2372
2026-04,agent_2030,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,78.8785,42.7324,93.7500,0.1826
2026-04,agent_2030,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,74.7270,25.3773,43.7500,0.1719
2026-04,agent_2030,T08,Direct or coordinate activities of project personnel.,medium,36.6950,83.0300,30.4679,87.5000,0.1708
2026-04,agent_2030,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,78.8785,37.6527,75.0000,0.2254
2026-04,agent_2030,T10,Identify need for initial or supplemental project resources.,medium,42.6150,70.5755,30.0757,62.5000,0.1782
2026-04,agent_2030,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,70.5755,45.4294,81.2500,0.1814
2026-04,agent_2030,T12,Perform risk assessments to develop response strategies.,high,47.7700,83.0300,39.6634,68.7500,0.2222
2026-04,agent_2030,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,83.0300,51.3167,43.7500,0.2630
2026-04,agent_2030,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,70.5755,25.9259,81.2500,0.1868
2026-04,agent_2030,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,74.7270,36.1156,81.2500,0.2008
2026-04,agent_2030,T16,Establish and execute a project communication plan.,medium,51.9700,78.8785,40.9932,62.5000,0.2040
2026-04,agent_2030,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,66.4240,30.6347,56.2500,0.1686
2026-04,agent_2030,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,74.7270,27.1035,87.5000,0.1794
2026-04,agent_2030,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,70.5755,26.2682,75.0000,0.1632
2026-04,agent_2030,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,74.7270,27.5743,93.7500,0.1580
2026-04,agent_2030,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,66.4240,18.9142,93.7500,0.1440
2026-04,agent_2030_v2_0,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,82.9065,47.7210,81.2500,0.1644
2026-04,agent_2030_v2_0,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,82.9065,27.1768,75.0000,0.1901
2026-04,agent_2030_v2_0,T03,Monitor or track project milestones and deliverables.,high,50.6550,82.9065,41.9963,43.7500,0.1955
2026-04,agent_2030_v2_0,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,78.5430,26.9285,62.5000,0.1377
2026-04,agent_2030_v2_0,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,87.2700,31.5874,75.0000,0.2372
2026-04,agent_2030_v2_0,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,82.9065,44.9146,93.7500,0.1826
2026-04,agent_2030_v2_0,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,78.5430,26.6732,43.7500,0.1719
2026-04,agent_2030_v2_0,T08,Direct or coordinate activities of project personnel.,medium,36.6950,87.2700,32.0237,87.5000,0.1708
2026-04,agent_2030_v2_0,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,82.9065,39.5754,75.0000,0.2254
2026-04,agent_2030_v2_0,T10,Identify need for initial or supplemental project resources.,medium,42.6150,74.1795,31.6116,62.5000,0.1782
2026-04,agent_2030_v2_0,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,74.1795,47.7493,81.2500,0.1814
2026-04,agent_2030_v2_0,T12,Perform risk assessments to develop response strategies.,high,47.7700,87.2700,41.6889,68.7500,0.2222
2026-04,agent_2030_v2_0,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,87.2700,53.9372,43.7500,0.2630
2026-04,agent_2030_v2_0,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,74.1795,27.2498,81.2500,0.1868
2026-04,agent_2030_v2_0,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,78.5430,37.9598,81.2500,0.2008
2026-04,agent_2030_v2_0,T16,Establish and execute a project communication plan.,medium,51.9700,82.9065,43.0865,62.5000,0.2040
2026-04,agent_2030_v2_0,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,69.8160,32.1991,56.2500,0.1686
2026-04,agent_2030_v2_0,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,78.5430,28.4875,87.5000,0.1794
2026-04,agent_2030_v2_0,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,74.1795,27.6096,75.0000,0.1632
2026-04,agent_2030_v2_0,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,78.5430,28.9824,93.7500,0.1580
2026-04,agent_2030_v2_0,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,69.8160,19.8801,93.7500,0.1440
2026-04,agentim,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,35.7010,20.5495,81.2500,0.1644
2026-04,agentim,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,35.7010,11.7028,75.0000,0.1901
2026-04,agentim,T03,Monitor or track project milestones and deliverables.,high,50.6550,35.7010,18.0843,43.7500,0.1955
2026-04,agentim,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,33.8220,11.5959,62.5000,0.1377
2026-04,agentim,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,37.5800,13.6021,75.0000,0.2372
2026-04,agentim,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,35.7010,19.3410,93.7500,0.1826
2026-04,agentim,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,33.8220,11.4860,43.7500,0.1719
2026-04,agentim,T08,Direct or coordinate activities of project personnel.,medium,36.6950,37.5800,13.7900,87.5000,0.1708
2026-04,agentim,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,35.7010,17.0419,75.0000,0.2254
2026-04,agentim,T10,Identify need for initial or supplemental project resources.,medium,42.6150,31.9430,13.6125,62.5000,0.1782
2026-04,agentim,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,31.9430,20.5617,81.2500,0.1814
2026-04,agentim,T12,Perform risk assessments to develop response strategies.,high,47.7700,37.5800,17.9520,68.7500,0.2222
2026-04,agentim,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,37.5800,23.2263,43.7500,0.2630
2026-04,agentim,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,31.9430,11.7343,81.2500,0.1868
2026-04,agentim,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,33.8220,16.3462,81.2500,0.2008
2026-04,agentim,T16,Establish and execute a project communication plan.,medium,51.9700,35.7010,18.5538,62.5000,0.2040
2026-04,agentim,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,30.0640,13.8655,56.2500,0.1686
2026-04,agentim,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,33.8220,12.2672,87.5000,0.1794
2026-04,agentim,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,31.9430,11.8892,75.0000,0.1632
2026-04,agentim,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,33.8220,12.4803,93.7500,0.1580
2026-04,agentim,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,30.0640,8.5607,93.7500,0.1440
2026-04,agentim_v1_1,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,38.0000,21.8728,81.2500,0.1644
2026-04,agentim_v1_1,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,38.0000,12.4564,75.0000,0.1901
2026-04,agentim_v1_1,T03,Monitor or track project milestones and deliverables.,high,50.6550,38.0000,19.2489,43.7500,0.1955
2026-04,agentim_v1_1,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,36.0000,12.3426,62.5000,0.1377
2026-04,agentim_v1_1,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,40.0000,14.4780,75.0000,0.2372
2026-04,agentim_v1_1,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,38.0000,20.5865,93.7500,0.1826
2026-04,agentim_v1_1,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,36.0000,12.2256,43.7500,0.1719
2026-04,agentim_v1_1,T08,Direct or coordinate activities of project personnel.,medium,36.6950,40.0000,14.6780,87.5000,0.1708
2026-04,agentim_v1_1,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,38.0000,18.1393,75.0000,0.2254
2026-04,agentim_v1_1,T10,Identify need for initial or supplemental project resources.,medium,42.6150,34.0000,14.4891,62.5000,0.1782
2026-04,agentim_v1_1,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,34.0000,21.8858,81.2500,0.1814
2026-04,agentim_v1_1,T12,Perform risk assessments to develop response strategies.,high,47.7700,40.0000,19.1080,68.7500,0.2222
2026-04,agentim_v1_1,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,40.0000,24.7220,43.7500,0.2630
2026-04,agentim_v1_1,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,34.0000,12.4899,81.2500,0.1868
2026-04,agentim_v1_1,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,36.0000,17.3988,81.2500,0.2008
2026-04,agentim_v1_1,T16,Establish and execute a project communication plan.,medium,51.9700,38.0000,19.7486,62.5000,0.2040
2026-04,agentim_v1_1,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,32.0000,14.7584,56.2500,0.1686
2026-04,agentim_v1_1,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,36.0000,13.0572,87.5000,0.1794
2026-04,agentim_v1_1,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,34.0000,12.6548,75.0000,0.1632
2026-04,agentim_v1_1,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,36.0000,13.2840,93.7500,0.1580
2026-04,agentim_v1_1,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,32.0000,9.1120,93.7500,0.1440
2026-04,agents_on_the_fly,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,38.5795,22.2064,81.2500,0.1644
2026-04,agents_on_the_fly,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,38.5795,12.6464,75.0000,0.1901
2026-04,agents_on_the_fly,T03,Monitor or track project milestones and deliverables.,high,50.6550,38.5795,19.5424,43.7500,0.1955
2026-04,agents_on_the_fly,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,36.5490,12.5308,62.5000,0.1377
2026-04,agents_on_the_fly,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,40.6100,14.6988,75.0000,0.2372
2026-04,agents_on_the_fly,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,38.5795,20.9004,93.7500,0.1826
2026-04,agents_on_the_fly,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,36.5490,12.4120,43.7500,0.1719
2026-04,agents_on_the_fly,T08,Direct or coordinate activities of project personnel.,medium,36.6950,40.6100,14.9018,87.5000,0.1708
2026-04,agents_on_the_fly,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,38.5795,18.4159,75.0000,0.2254
2026-04,agents_on_the_fly,T10,Identify need for initial or supplemental project resources.,medium,42.6150,34.5185,14.7101,62.5000,0.1782
2026-04,agents_on_the_fly,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,34.5185,22.2196,81.2500,0.1814
2026-04,agents_on_the_fly,T12,Perform risk assessments to develop response strategies.,high,47.7700,40.6100,19.3994,68.7500,0.2222
2026-04,agents_on_the_fly,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,40.6100,25.0990,43.7500,0.2630
2026-04,agents_on_the_fly,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,34.5185,12.6804,81.2500,0.1868
2026-04,agents_on_the_fly,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,36.5490,17.6641,81.2500,0.2008
2026-04,agents_on_the_fly,T16,Establish and execute a project communication plan.,medium,51.9700,38.5795,20.0498,62.5000,0.2040
2026-04,agents_on_the_fly,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,32.4880,14.9835,56.2500,0.1686
2026-04,agents_on_the_fly,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,36.5490,13.2563,87.5000,0.1794
2026-04,agents_on_the_fly,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,34.5185,12.8478,75.0000,0.1632
2026-04,agents_on_the_fly,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,36.5490,13.4866,93.7500,0.1580
2026-04,agents_on_the_fly,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,32.4880,9.2510,93.7500,0.1440
2026-04,aime_agent_v0_1,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,73.7010,42.4223,81.2500,0.1644
2026-04,aime_agent_v0_1,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,73.7010,24.1592,75.0000,0.1901
2026-04,aime_agent_v0_1,T03,Monitor or track project milestones and deliverables.,high,50.6550,73.7010,37.3332,43.7500,0.1955
2026-04,aime_agent_v0_1,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,69.8220,23.9385,62.5000,0.1377
2026-04,aime_agent_v0_1,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,77.5800,28.0801,75.0000,0.2372
2026-04,aime_agent_v0_1,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,73.7010,39.9275,93.7500,0.1826
2026-04,aime_agent_v0_1,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,69.8220,23.7116,43.7500,0.1719
2026-04,aime_agent_v0_1,T08,Direct or coordinate activities of project personnel.,medium,36.6950,77.5800,28.4680,87.5000,0.1708
2026-04,aime_agent_v0_1,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,73.7010,35.1812,75.0000,0.2254
2026-04,aime_agent_v0_1,T10,Identify need for initial or supplemental project resources.,medium,42.6150,65.9430,28.1016,62.5000,0.1782
2026-04,aime_agent_v0_1,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,65.9430,42.4475,81.2500,0.1814
2026-04,aime_agent_v0_1,T12,Perform risk assessments to develop response strategies.,high,47.7700,77.5800,37.0600,68.7500,0.2222
2026-04,aime_agent_v0_1,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,77.5800,47.9483,43.7500,0.2630
2026-04,aime_agent_v0_1,T14,"Identify, review, or select vendors or consultants to meet project needs.",medium,36.7350,65.9430,24.2242,81.2500,0.1868
2026-04,aime_agent_v0_1,T15,Develop and manage annual budgets for information technology projects.,high,48.3300,69.8220,33.7450,81.2500,0.2008
2026-04,aime_agent_v0_1,T16,Establish and execute a project communication plan.,medium,51.9700,73.7010,38.3024,62.5000,0.2040
2026-04,aime_agent_v0_1,T17,Develop and manage work breakdown structure (WBS) of information technology projects.,high,46.1200,62.0640,28.6239,56.2500,0.1686
2026-04,aime_agent_v0_1,T18,"Monitor the performance of project team members, providing and documenting performance feedback.",low,36.2700,69.8220,25.3244,87.5000,0.1794
2026-04,aime_agent_v0_1,T19,Coordinate recruitment or selection of project personnel.,low,37.2200,65.9430,24.5440,75.0000,0.1632
2026-04,aime_agent_v0_1,T20,"Assign duties, responsibilities, and spans of authority to project personnel.",low,36.9000,69.8220,25.7643,93.7500,0.1580
2026-04,aime_agent_v0_1,T21,Negotiate with project stakeholders or suppliers to obtain resources or materials.,low,28.4750,62.0640,17.6727,93.7500,0.1440
2026-04,alita_v0_1,T01,"Manage project execution to ensure adherence to budget, schedule, and scope.",high,57.5600,67.9440,39.1086,81.2500,0.1644
2026-04,alita_v0_1,T02,Confer with project personnel to identify and resolve problems.,medium,32.7800,67.9440,22.2720,75.0000,0.1901
2026-04,alita_v0_1,T03,Monitor or track project milestones and deliverables.,high,50.6550,67.9440,34.4170,43.7500,0.1955
2026-04,alita_v0_1,T04,"Submit project deliverables, ensuring adherence to quality standards.",medium,34.2850,64.3680,22.0686,62.5000,0.1377
2026-04,alita_v0_1,T05,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",medium,36.1950,71.5200,25.8867,75.0000,0.2372
2026-04,alita_v0_1,T06,"Initiate, review, or approve modifications to project plans.",high,54.1750,67.9440,36.8087,93.7500,0.1826
2026-04,alita_v0_1,T07,Schedule and facilitate meetings related to information technology projects.,medium,33.9600,64.3680,21.8594,43.7500,0.1719
2026-04,alita_v0_1,T08,Direct or coordinate activities of project personnel.,medium,36.6950,71.5200,26.2443,87.5000,0.1708
2026-04,alita_v0_1,T09,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,high,47.7350,67.9440,32.4331,75.0000,0.2254
2026-04,alita_v0_1,T10,Identify need for initial or supplemental project resources.,medium,42.6150,60.7920,25.9065,62.5000,0.1782
2026-04,alita_v0_1,T11,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",high,64.3700,60.7920,39.1318,81.2500,0.1814
2026-04,alita_v0_1,T12,Perform risk assessments to develop response strategies.,high,47.7700,71.5200,34.1651,68.7500,0.2222
2026-04,alita_v0_1,T13,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",high,61.8050,71.5200,44.2029,43.7500,0.2630
