snapshot_month,source_model_id,source_display_name,provider,benchmark_id,benchmark_variant
2026-04,claritybot,ClarityBot,Benchmark submission,gaia,public_results
2026-04,co_sight_v0_1_cores_agent_original,Co-Sight v0.1 | CoreS-Agent original,Co-Sight v0.1,gaia,public_results
2026-04,co_sight_v0_2_cores_agent_original,Co-Sight v0.2 | CoreS-Agent original,Co-Sight v0.2,gaia,public_results
2026-04,claritybotv2,ClarityBotV2,Benchmark submission,gaia,public_results
2026-04,alita_v0_1,Alita v0.1,Benchmark submission,gaia,public_results
2026-04,cohere_model,Cohere Model,Benchmark submission,gaia,public_results
2026-04,alita_v1_1,Alita v1.1,Benchmark submission,gaia,public_results
2026-04,deserach_v0_3,deserach v0.3,Benchmark submission,gaia,public_results
2026-04,skywork_super_agents_v1,Skywork Super Agents v1,Benchmark submission,gaia,public_results
2026-04,deedee,deedee,Benchmark submission,gaia,public_results
2026-04,adk_gaia,ADK-GAIA,Benchmark submission,gaia,public_results
2026-04,masteragent,MasterAgent,Benchmark submission,gaia,public_results
2026-04,masteragent20250510,MasterAgent20250510,Benchmark submission,gaia,public_results
2026-04,skywork_super_agents_v1_1,Skywork Super Agents v1.1,Benchmark submission,gaia,public_results
2026-04,agent_2030,agent-2030,Benchmark submission,gaia,public_results
2026-04,langfun_agent_v2_2,Langfun Agent v2.2,Benchmark submission,gaia,public_results
2026-04,aworld_click_to_run_instantly,AWorld (Click to Run Instantly),Benchmark submission,gaia,public_results
2026-04,desearch_v0_4,desearch v0.4,Benchmark submission,gaia,public_results
2026-04,fhswfgaia,fhswfgaia,Benchmark submission,gaia,public_results
2026-04,model_e0d7c8ae1a,АгентИИ.рф,Benchmark submission,gaia,public_results
2026-04,test,TEST,Benchmark submission,gaia,public_results
2026-04,alita_v2_0,Alita v2.0,Benchmark submission,gaia,public_results
2026-04,fhswf_smolagents,fhswf-smolagents,Benchmark submission,gaia,public_results
2026-04,langfun_agent_2_3,Langfun Agent 2.3,Benchmark submission,gaia,public_results
2026-04,oneagent,OneAgent,Benchmark submission,gaia,public_results
2026-04,fhswf_gaia_smolagents,fhswf-gaia-smolagents,Benchmark submission,gaia,public_results
2026-04,alita_v2_1,Alita v2.1,Benchmark submission,gaia,public_results
2026-04,agent_2030_v2_0,agent-2030-v2.0,Benchmark submission,gaia,public_results
2026-04,junie_cli_multiple,Junie CLI | Multiple,Junie CLI,terminal_bench_2,current_public
2026-04,warp_multiple,Warp | Multiple,Warp,terminal_bench_2,current_public
2026-04,abacus_ai_desktop_multiple,Abacus AI Desktop | Multiple,Abacus AI Desktop,terminal_bench_2,current_public
